PlayerId,PlayerLink,ShirtNumber,Position,OfficialName,LastName,GamesPlayedTotal,MinutesTotal,SecondsTotal,PointsTotal,FieldGoals2PointsMadeTotal,FieldGoals2PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FreeThrowsMadeTotal,FreeThrowsAttemptedTotal,OffensiveReboundsTotal,DefensiveReboundsTotal,BlocksTotal,AssistsTotal,TurnOversTotal,StealsTotal,PersonalFoulsTotal,Efficiency,PlusMinus,DoubleDoubles,TripleDoubles
161384,/womensbasketballworldcup/2022/player/Kankou-Coulibaly,N/A,Forward,Kankou Coulibaly (MLI),Coulibaly,5,89,5398,38,5,14,7,14,7,9,4,6,1,4,11,1,10,25,-47,0,0
210143,/womensbasketballworldcup/2022/player/Diana-Balayera,N/A,Center,Diana Balayera (MLI),Balayera,5,97,5871,15,6,12,1,3,0,0,5,14,9,4,1,4,8,42,-82,0,0
218449,/womensbasketballworldcup/2022/player/Salimatou-Kourouma,N/A,Forward,Salimatou Kourouma (MLI),Kourouma,5,84,5084,30,9,27,2,9,6,11,13,11,1,7,5,3,6,30,-50,0,0
176788,/womensbasketballworldcup/2022/player/Steph-Talbot,N/A,Small Forward,Steph Talbot (AUS),Talbot,8,232,13963,68,16,44,8,21,12,14,17,38,6,42,17,11,12,122,90,1,0
216865,/womensbasketballworldcup/2022/player/Ezi-Magbegor,N/A,Forward,Ezi Magbegor (AUS),Magbegor,8,169,10187,77,29,60,0,0,19,21,12,24,11,13,7,5,15,102,48,0,0
191935,/womensbasketballworldcup/2022/player/Samantha-Whitcomb,N/A,Guard,Samantha Whitcomb (AUS),Whitcomb,8,220,13238,88,9,19,18,55,16,21,2,16,3,29,21,11,17,76,76,0,0
174616,/womensbasketballworldcup/2022/player/Bec-Allen,N/A,Small Forward,Bec Allen (AUS),Allen,5,91,5498,40,10,21,4,12,8,8,3,13,4,5,4,3,5,45,17,0,0
196645,/womensbasketballworldcup/2022/player/Kristy-Wallace,N/A,Point Guard,Kristy Wallace (AUS),Wallace,8,112,6761,30,6,16,2,8,12,13,9,15,0,15,8,2,10,46,49,0,0
127215,/womensbasketballworldcup/2022/player/Lauren-Jackson,N/A,Center,Lauren Jackson (AUS),Jackson,8,79,4775,73,15,29,7,20,22,27,8,10,1,2,3,6,15,65,31,0,0
151395,/womensbasketballworldcup/2022/player/Cayla-George,N/A,Forward,Cayla George (AUS),George,8,160,9622,69,17,37,9,24,8,10,8,37,8,14,13,5,15,91,38,0,0
159135,/womensbasketballworldcup/2022/player/Marianna-Tolo,N/A,Center,Marianna Tolo (AUS),Tolo,8,168,10089,82,32,63,0,0,18,22,16,21,4,15,6,5,11,103,83,0,0
198826,/womensbasketballworldcup/2022/player/Darcee-Garbin,N/A,Power Forward,Darcee  Garbin (AUS),Garbin,7,62,3727,27,5,11,5,10,2,2,4,3,2,4,3,2,4,28,54,0,0
176778,/womensbasketballworldcup/2022/player/Sara-Blicavs,N/A,Power Forward,Sara Blicavs (AUS),Blicavs,8,136,8213,40,14,32,3,12,3,4,11,18,4,6,10,2,10,43,75,0,0
174629,/womensbasketballworldcup/2022/player/Tess-Madgen,N/A,Guard,Tess  Madgen (AUS),Madgen,8,139,8380,33,0,8,10,18,3,4,4,15,0,23,5,2,8,55,64,0,0
205851,/womensbasketballworldcup/2022/player/Anneli-Maley,N/A,Small Forward,Anneli Maley (AUS),Maley,5,25,1547,3,0,3,1,2,0,0,1,5,0,1,2,1,2,5,10,0,0
151027,/womensbasketballworldcup/2022/player/Tina-Krajisnik,N/A,Center,Tina Krajisnik (SRB),Krajisnik,6,155,9354,64,27,59,0,3,10,19,20,26,6,6,7,9,15,80,-8,2,0
167536,/womensbasketballworldcup/2022/player/Yvonne-Anderson,N/A,Point Guard,Yvonne Anderson (SRB),Anderson,6,203,12232,90,23,54,6,18,26,30,8,17,0,39,22,11,15,96,0,0,0
184460,/womensbasketballworldcup/2022/player/Kristina-Topuzovic,N/A,Forward,Kristina Topuzovic (SRB),Topuzovic,6,114,6874,27,8,23,2,6,5,7,3,14,3,10,9,1,8,28,-11,0,0
210683,/womensbasketballworldcup/2022/player/Mina-Dordevic,N/A,Power Forward,Mina Dordevic (SRB),Dordevic,6,81,4903,18,9,16,0,2,0,0,3,9,1,6,0,0,10,28,-25,0,0
203851,/womensbasketballworldcup/2022/player/Ivana-Katanic,N/A,Point Guard,Ivana Katanic (SRB),Katanic,4,14,882,2,1,4,0,1,0,0,0,0,0,2,2,1,1,-1,-1,0,0
196381,/womensbasketballworldcup/2022/player/Jovana-Nogic,N/A,Small Forward,Jovana Nogic (SRB),Nogic,6,138,8299,61,11,27,11,35,6,6,8,18,0,11,13,4,12,49,-9,0,0
196731,/womensbasketballworldcup/2022/player/Ivana-Raca,N/A,Power Forward,Ivana Raca (SRB),Raca,6,159,9565,42,14,32,2,7,8,10,10,20,2,5,9,5,13,50,0,0,0
174621,/womensbasketballworldcup/2022/player/Dragana-Stankovic,N/A,Center,Dragana Stankovic (SRB),Stankovic,6,68,4120,16,8,15,0,0,0,0,6,10,3,2,11,2,12,21,-10,0,0
173282,/womensbasketballworldcup/2022/player/Maja-Skoric,N/A,Power Forward,Maja Skoric (SRB),Skoric,4,26,1575,0,0,6,0,0,0,0,2,2,1,3,1,1,3,2,-2,0,0
