PlayerId,Position,OfficialName,Team,GamesPlayedTotal,MinutesTotal,SecondsTotal,PointsTotal,FieldGoals2PointsMadeTotal,FieldGoals2PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FreeThrowsMadeTotal,FreeThrowsAttemptedTotal,OffensiveReboundsTotal,DefensiveReboundsTotal,BlocksTotal,AssistsTotal,TurnOversTotal,StealsTotal,PersonalFoulsTotal,Efficiency,PlusMinus,DoubleDoubles,TripleDoubles,ReboundsTotal
205851,Small Forward,Anneli Maley,AUS,5,25,1547,3,0,3,1,2,0,0,1,5,0,1,2,1,2,5.0,10,0,0,6
151027,Center,Tina Krajisnik,SRB,6,155,9354,64,27,59,0,3,10,19,20,26,6,6,7,9,15,80.0,-8,2,0,46
167536,Point Guard,Yvonne Anderson,SRB,6,203,12232,90,23,54,6,18,26,30,8,17,0,39,22,11,15,96.0,0,0,0,25
184460,Forward,Kristina Topuzovic,SRB,6,114,6874,27,8,23,2,6,5,7,3,14,3,10,9,1,8,28.0,-11,0,0,17
210683,Power Forward,Mina Dordevic,SRB,6,81,4903,18,9,16,0,2,0,0,3,9,1,6,0,0,10,28.0,-25,0,0,12
203851,Point Guard,Ivana Katanic,SRB,4,14,882,2,1,4,0,1,0,0,0,0,0,2,2,1,1,-1.0,-1,0,0,0
196381,Small Forward,Jovana Nogic,SRB,6,138,8299,61,11,27,11,35,6,6,8,18,0,11,13,4,12,49.0,-9,0,0,26
196731,Power Forward,Ivana Raca,SRB,6,159,9565,42,14,32,2,7,8,10,10,20,2,5,9,5,13,50.0,0,0,0,30
174621,Center,Dragana Stankovic,SRB,6,68,4120,16,8,15,0,0,0,0,6,10,3,2,11,2,12,21.0,-10,0,0,16
173282,Power Forward,Maja Skoric,SRB,4,26,1575,0,0,6,0,0,0,0,2,2,1,3,1,1,3,2.0,-2,0,0,4
151360,Shooting Guard,Sasa Cadjo,SRB,6,131,7895,55,4,11,15,42,2,2,2,9,1,8,4,10,10,47.0,-32,0,0,11
151020,Shooting Guard,Nevena Jovanovic,SRB,6,73,4423,8,2,10,1,6,1,2,1,12,0,6,6,1,1,8.0,-30,0,0,13
196351,Shooting Guard,Katarina Zec,SRB,6,31,1878,4,2,8,0,5,0,0,2,1,0,2,5,1,7,-6.0,-27,0,0,3
147107,Point Guard,Pamela Rosado,PUR,6,155,9326,23,6,10,3,16,2,2,0,15,0,13,16,3,3,21.0,-56,0,0,15
195511,Point Guard,Jennifer O'Neill,PUR,5,118,7101,39,8,23,6,17,5,6,5,15,0,8,11,4,10,33.0,-52,0,0,20
181909,Forward,Tayra Melendez,PUR,5,97,5858,22,7,13,2,6,2,2,5,7,5,7,3,5,5,38.0,8,0,0,12
235581,Power Forward,Isalys Quinones,PUR,6,183,11017,51,15,35,5,16,6,13,7,22,0,5,4,4,14,47.0,-51,0,0,29
225517,Center,India Pagan,PUR,4,50,3036,6,3,7,0,2,0,0,1,4,0,1,3,0,4,3.0,-52,0,0,5
291149,Forward,Brianna Jones,PUR,6,63,3813,8,1,9,2,6,0,0,4,4,0,1,0,1,7,6.0,-18,0,0,8
236841,Shooting Guard,Arella Guirantes,PUR,6,180,10802,109,40,88,4,15,17,23,7,32,3,21,16,7,8,98.0,-46,1,0,39
323904,Point Guard,Trinity San Antonio,PUR,5,76,4601,45,15,32,1,5,12,14,6,10,1,5,10,8,9,42.0,-19,0,0,16
188776,Power Forward,Sofia Roma,PUR,5,53,3199,9,4,9,0,1,1,2,1,6,1,2,0,1,3,13.0,-31,0,0,7
314595,Power Forward,Mya Hollingshed,PUR,6,161,9698,78,18,40,12,28,6,8,4,33,3,11,7,4,14,86.0,-32,1,0,37
183622,Center,Marieme Badiane,FRA,6,113,6838,20,9,23,0,4,2,2,7,18,5,3,4,4,11,35.0,-4,0,0,25
196661,Shooting Guard,Lisa Berkani,FRA,5,45,2719,12,3,12,2,6,0,0,0,3,0,1,2,1,4,2.0,-48,0,0,3
204402,Power Forward,Alexia Chery,FRA,6,161,9709,61,15,29,7,24,10,11,2,21,2,5,6,4,12,57.0,40,0,0,23
226144,Small Forward,Kendra Chery,FRA,4,31,1875,11,4,6,1,4,0,0,0,1,1,1,1,1,2,9.0,19,0,0,1
173834,Center,Helena Ciak,FRA,4,30,1828,3,1,1,0,0,1,2,3,2,1,0,0,2,3,10.0,9,0,0,5
226150,Point Guard,Marine Fauthoux,FRA,6,167,10062,65,18,34,5,23,14,18,4,10,2,21,15,10,10,59.0,52,0,0,14
151688,Shooting Guard,Sarah Michel,FRA,6,170,10220,29,7,17,5,16,0,1,1,28,1,23,11,15,11,64.0,24,0,0,29
183648,Point Guard,Marie-Eve Paget,FRA,5,30,1818,3,0,0,1,7,0,0,1,3,0,4,3,0,4,2.0,-18,0,0,4
226193,Center,Iliana Rupert,FRA,6,119,7176,38,15,28,2,13,2,2,10,21,6,7,11,9,18,56.0,-28,1,0,31
175762,Shooting Guard,Mamignan Toure,FRA,6,103,6226,38,7,17,6,13,6,7,0,2,0,2,6,9,12,27.0,-21,0,0,2
196698,Center,Ana Tadic,FRA,6,48,2882,14,7,13,0,0,0,0,1,2,1,1,1,1,3,13.0,-1,0,0,3
216915,Forward,Gabby Williams,FRA,6,177,10647,95,38,68,4,19,7,10,5,25,3,20,12,9,9,97.0,16,0,0,30
196900,Guard,Shay Colley,CAN,8,216,12994,64,19,44,7,20,5,6,3,15,3,21,21,11,22,57.0,38,0,0,18
176411,Guard,Nirra Fields,CAN,8,200,12046,82,23,64,10,27,6,15,9,20,4,14,6,7,14,63.0,-7,0,0,29
203119,Small Forward,Bridget Carleton,CAN,8,247,14838,102,19,44,16,45,16,21,3,39,9,16,10,11,14,111.0,33,0,0,42
188565,Guard,Kia Nurse,CAN,8,167,10064,88,19,41,12,34,14,18,3,16,0,8,12,3,13,58.0,5,0,0,19
203125,Guard,Aislinn Konig,CAN,7,57,3470,16,2,3,4,18,0,0,1,3,1,5,2,2,4,11.0,-20,0,0,4
161433,Center,Kayla Alexander,CAN,8,227,13636,57,20,50,0,0,17,20,30,47,9,13,13,7,16,117.0,19,1,0,77
167640,Center,Natalie Achonwa,CAN,8,193,11622,57,21,48,0,5,15,20,12,37,3,18,17,7,14,80.0,23,0,0,49
217041,Forward,Laeticia Amihere,CAN,8,160,9614,58,22,58,1,6,11,21,15,14,8,8,12,9,13,49.0,-13,0,0,29
188714,Guard,Sami Hill,CAN,8,62,3740,7,1,9,1,5,2,2,4,4,0,6,1,5,10,13.0,-29,0,0,8
323517,Center,Phillipina  Kyei,CAN,5,29,1779,6,3,10,0,0,0,0,5,7,4,0,2,0,2,13.0,-6,0,0,12
181482,Point Guard,Liwei Yang,CHN,8,183,11027,74,20,43,9,18,7,11,3,10,0,31,14,7,12,75.0,51,0,0,13
203409,Power Forward,Sijing Huang,CHN,8,179,10746,61,16,19,9,32,2,2,3,39,2,26,8,12,8,109.0,83,0,0,42
218463,Forward,Ru Zhang,CHN,8,140,8454,34,13,25,2,7,2,2,8,9,1,7,4,3,19,41.0,97,0,0,17
181495,Shooting Guard,Meng Li,CHN,6,139,8377,96,25,50,11,27,13,15,5,5,0,15,7,2,4,73.0,78,0,0,10
258186,Guard,Siyu Wang,CHN,8,169,10154,74,15,30,11,19,11,16,2,24,3,35,18,9,9,101.0,67,0,0,26
224132,Guard,Yuan Li,CHN,8,124,7474,38,7,20,7,16,3,6,7,7,0,28,11,4,12,48.0,83,0,0,14
218464,Center,Yueru Li,CHN,8,152,9152,81,35,58,0,0,11,15,18,43,3,10,19,7,8,116.0,44,1,0,61
